Date,Close
2025-01-02,89.38
2025-01-03,90.69
2025-01-06,91.29
2025-01-07,91.99
2025-01-08,95.95
2025-01-10,94.88
2025-01-13,94.61
2025-01-14,95.65
2025-01-15,96.89
2025-01-16,98.17
2025-01-17,98.66
2025-01-21,100.91
2025-01-22,100.31
2025-01-23,101.64
2025-01-24,101.94
2025-01-27,102.27
2025-01-28,102.32
2025-01-29,102.71
2025-01-30,103.04
2025-01-31,102.36
2025-02-03,103.07
2025-02-04,103.54
2025-02-05,104.97
2025-02-06,105.02
2025-02-07,105.25
2025-02-10,106.18
2025-02-11,105.98
2025-02-12,105.77
2025-02-13,106.14
2025-02-14,106.11
2025-02-18,105.35
2025-02-19,105.67
2025-02-20,105.36
2025-02-21,104.49
2025-02-24,104.39
2025-02-25,100.72
2025-02-26,101.56
2025-02-27,100.8
2025-02-28,103.79
2025-03-03,104.87
2025-03-04,103.61
2025-03-05,104.71
2025-03-06,100.8
2025-03-07,99.13
2025-03-10,94.13
2025-03-11,95.52
2025-03-12,96.42
2025-03-13,95.37
2025-03-14,97.16
2025-03-17,98.9
2025-03-18,99.22
2025-03-19,100.73
2025-03-20,101.51
2025-03-21,100.69
2025-03-24,102.67
2025-03-25,103.08
2025-03-26,102.34
2025-03-27,100.8
2025-03-28,99.36
2025-03-31,100.88
2025-04-01,101.24
2025-04-02,100.05
2025-04-03,98.5
2025-04-04,89.7
2025-04-07,91.54
2025-04-08,90.64
2025-04-09,96.77
2025-04-10,92.64
2025-04-11,93.67
2025-04-14,94.27
2025-04-15,94.23
2025-04-16,95.25
2025-04-17,95.12
2025-04-21,93.58
2025-04-22,95.05
2025-04-23,98.92
2025-04-24,101.14
2025-04-25,101.9
2025-04-28,102.18
2025-04-29,102.74
2025-04-30,102.87
2025-05-01,103.19
2025-05-02,104.93
2025-05-05,104.24
2025-05-06,104.12
2025-05-07,104.8
2025-05-08,103.29
2025-05-09,102.86
2025-05-12,102.87
2025-05-13,102.95
2025-05-14,102.95
2025-05-15,104.86
2025-05-16,106.04
2025-05-19,106.66
2025-05-20,106.54
2025-05-21,104.64
2025-05-22,104.5
2025-05-23,104.5
2025-05-27,106.17
2025-05-28,104.51
2025-05-29,104.5
2025-05-30,105.26
2025-06-02,104.17
2025-06-03,103.1
2025-06-04,102.43
2025-06-05,102.83
2025-06-06,102.09
2025-06-09,100.04
2025-06-10,99.34
2025-06-11,99.4
2025-06-12,98.56
2025-06-13,99.74
2025-06-16,101.49
2025-06-17,101.73
2025-06-18,101.37
2025-06-20,101.3
2025-06-23,102.36
2025-06-24,104.12
2025-06-25,104.29
2025-06-26,104.58
2025-06-27,106.53
2025-06-30,107.41
2025-07-01,104.78
2025-07-02,103.63
2025-07-03,104.32
2025-07-07,103.83
2025-07-08,102.41
2025-07-09,102.96
2025-07-10,103.86
2025-07-11,103.2
2025-07-14,104.33
2025-07-15,103.48
2025-07-16,103.19
2025-07-17,104.65
2025-07-18,103.64
2025-07-21,103.78
2025-07-22,103.16
2025-07-23,107.76
2025-07-24,106.21
2025-07-25,106.14
2025-07-28,105.84
2025-07-29,106.47
2025-07-30,106.76
2025-07-31,104.92
2025-08-01,105.41
2025-08-04,106.79
2025-08-05,104.83
2025-08-06,102.95
2025-08-07,102.96
2025-08-08,103.14
2025-08-11,102.75
2025-08-12,102.64
2025-08-13,102.5
2025-08-14,104.15
2025-08-15,103.17
2025-08-18,103.05
2025-08-19,103.75
2025-08-20,106.05
2025-08-21,105.21
2025-08-22,106.17
2025-08-25,105.11
2025-08-26,106.39
2025-08-27,105.87
2025-08-28,105.75
2025-08-29,105.5
2025-09-02,106.66
2025-09-03,107.53
2025-09-04,107.29
2025-09-05,107.22
2025-09-08,108.14
2025-09-09,108.09
2025-09-10,105.23
2025-09-11,104.34
2025-09-12,102.71
2025-09-15,99.87
2025-09-16,98.98
2025-09-17,98.5
2025-09-18,98.23
2025-09-19,97.83
2025-09-22,97.03
2025-09-23,97.69
2025-09-24,98.06
2025-09-25,98.14
2025-09-26,98.18
2025-09-29,97.04
2025-09-30,97.63
2025-10-01,95.85
2025-10-02,96.22
2025-10-03,97.32
2025-10-06,96.7
2025-10-07,95.9
2025-10-08,96.79
2025-10-09,97.28
2025-10-10,95.41
2025-10-13,94.95
2025-10-14,96.24
2025-10-15,97.71
2025-10-16,97.78
2025-10-17,99.24
2025-10-20,100.53
2025-10-21,99.9
2025-10-22,103.85
2025-10-23,102.39
2025-10-24,101.11
2025-10-27,102.43
2025-10-28,100.97
2025-10-29,100.3
2025-10-30,100.57
2025-10-31,100.72
2025-11-03,98.59
2025-11-04,98.84
2025-11-05,98.9
2025-11-06,99.05
2025-11-07,100.02
2025-11-10,100.91
2025-11-11,102.5
2025-11-12,104.13
2025-11-13,104.98
2025-11-14,102.69
2025-11-17,101.76
2025-11-18,99.22
2025-11-19,97.01
2025-11-20,96.6
2025-11-21,96.88
2025-11-24,98.04
2025-11-25,101.36
2025-11-26,100.96
2025-11-28,101.58
2025-12-01,101.01
2025-12-02,99.02
2025-12-03,98.57
2025-12-04,97.72
2025-12-05,97.52
2025-12-08,93.84
2025-12-09,92.53
2025-12-10,92.7
2025-12-11,91.75
2025-12-12,92.58
2025-12-15,92.19
2025-12-16,92.95
2025-12-17,94.48
2025-12-18,96.11
2025-12-19,95.61
2025-12-22,96.43
2025-12-23,96.09
2025-12-24,96.13
2025-12-26,96.06
2025-12-29,95.76
2025-12-30,96.01
2025-12-31,95.35
2026-01-02,94.71
2026-01-05,95.48
2026-01-06,97.79
2026-01-07,98.65
2026-01-08,98.38
2026-01-09,97.64
2026-01-12,95.72
2026-01-13,94.14
2026-01-14,93.74
2026-01-15,90.03
2026-01-16,88.07
2026-01-20,91.2
2026-01-21,91.71
2026-01-22,91.29
2026-01-23,92.51
2026-01-26,93.55
2026-01-27,93.61
2026-01-28,93.79
2026-01-29,92.33
2026-01-30,93.53
2026-02-02,91.87
2026-02-03,91.62
2026-02-04,75.5
2026-02-05,77.64
2026-02-06,76.27
2026-02-09,74.12
2026-02-10,74.25
2026-02-11,73.47
2026-02-12,74.12
2026-02-13,74.73
2026-02-17,76.29
2026-02-18,76.28
2026-02-19,75.72
2026-02-20,74.58
2026-02-23,74.37
2026-02-24,75.15
2026-02-25,73.48
2026-02-26,75.75
2026-02-27,76.85
2026-03-02,76.22
2026-03-03,73.85
2026-03-04,72.21
2026-03-05,72.99
2026-03-06,71.35
2026-03-09,71.9
2026-03-10,69.96
2026-03-11,69.63
2026-03-12,68.55
2026-03-13,69.13
2026-03-16,69.79
2026-03-17,71.2
2026-03-18,71.28
2026-03-19,69.89
2026-03-20,69.48
2026-03-23,69.54
2026-03-24,68.15
2026-03-25,69.78
2026-03-26,70.17
2026-03-27,69.17
2026-03-30,62.93
2026-03-31,62.75
2026-04-01,62.0
2026-04-02,62.82
2026-04-06,62.59
2026-04-07,61.86
2026-04-08,62.56
2026-04-09,61.28
2026-04-10,61.79
2026-04-13,63.18
2026-04-14,63.82
2026-04-15,64.61
2026-04-16,63.42
2026-04-17,64.23
2026-04-20,60.99
2026-04-21,59.52
2026-04-22,64.87
2026-04-23,65.69
