Date,Close
2025-01-02,272.6619
2025-01-03,277.1191
2025-01-06,273.1857
2025-01-07,276.4964
2025-01-08,282.1594
2025-01-10,283.6517
2025-01-13,282.4658
2025-01-14,285.7272
2025-01-15,286.7945
2025-01-16,292.329
2025-01-17,291.3704
2025-01-21,293.2975
2025-01-22,290.0659
2025-01-23,284.6302
2025-01-24,286.1225
2025-01-27,292.5366
2025-01-28,289.9769
2025-01-29,290.6588
2025-01-30,295.5311
2025-01-31,298.2885
2025-02-03,305.3845
2025-02-04,308.5569
2025-02-05,312.599
2025-02-06,316.2458
2025-02-07,318.5585
2025-02-10,320.4955
2025-02-11,318.2323
2025-02-12,320.8118
2025-02-13,324.7156
2025-02-14,317.7382
2025-02-18,322.482
2025-02-19,323.5
2025-02-20,321.3257
2025-02-21,321.7507
2025-02-24,324.6464
2025-02-25,327.9473
2025-02-26,324.4883
2025-02-27,329.2717
2025-02-28,333.7881
2025-03-03,337.8007
2025-03-04,333.3236
2025-03-05,336.8025
2025-03-06,335.8735
2025-03-07,320.8225
2025-03-10,318.6936
2025-03-11,322.5554
2025-03-12,321.8919
2025-03-13,319.6838
2025-03-14,322.0504
2025-03-17,325.9121
2025-03-18,326.427
2025-03-19,323.4366
2025-03-20,331.1602
2025-03-21,328.5361
2025-03-24,334.3585
2025-03-25,334.0515
2025-03-26,333.4277
2025-03-27,337.6558
2025-03-28,337.4182
2025-03-31,341.8542
2025-04-01,340.4878
2025-04-02,340.6957
2025-04-03,341.0225
2025-04-04,316.1191
2025-04-07,307.8114
2025-04-08,308.4749
2025-04-09,320.6443
2025-04-10,322.5257
2025-04-11,330.7442
2025-04-14,339.557
2025-04-15,332.2692
2025-04-16,329.3976
2025-04-17,325.9913
2025-04-21,316.2677
2025-04-22,327.5063
2025-04-23,328.5361
2025-04-24,328.2687
2025-04-25,319.1392
2025-04-28,320.6344
2025-04-29,314.0298
2025-04-30,317.545
2025-05-01,314.5249
2025-05-02,327.8331
2025-05-05,331.576
2025-05-06,334.9526
2025-05-07,336.22
2025-05-08,335.1506
2025-05-09,334.8635
2025-05-12,328.0311
2025-05-13,329.4372
2025-05-14,326.4072
2025-05-15,334.9625
2025-05-16,338.8837
2025-05-19,340.4482
2025-05-20,336.9924
2025-05-21,334.2198
2025-05-22,332.19
2025-05-23,334.7249
2025-05-27,339.3887
2025-05-28,336.4675
2025-05-29,338.547
2025-05-30,344.0327
2025-06-02,345.3496
2025-06-03,341.8641
2025-06-04,333.0415
2025-06-05,324.8823
2025-06-06,326.1821
2025-06-09,315.3377
2025-06-10,311.9347
2025-06-11,310.4861
2025-06-12,317.6396
2025-06-13,314.1571
2025-06-16,313.8495
2025-06-17,313.6511
2025-06-18,314.6432
2025-06-20,317.6495
2025-06-23,321.5784
2025-06-24,323.4239
2025-06-25,314.9409
2025-06-26,315.8934
2025-06-27,315.2386
2025-06-30,317.6098
2025-07-01,316.9847
2025-07-02,313.2641
2025-07-03,315.6057
2025-07-07,313.5916
2025-07-08,311.2997
2025-07-09,312.778
2025-07-10,311.1211
2025-07-11,309.0971
2025-07-14,312.9268
2025-07-15,305.6443
2025-07-16,307.4898
2025-07-17,311.4485
2025-07-18,310.6845
2025-07-21,305.8229
2025-07-22,309.9603
2025-07-23,308.3529
2025-07-24,306.6365
2025-07-25,312.6689
2025-07-28,306.696
2025-07-29,286.0889
2025-07-30,283.5986
2025-07-31,284.9975
2025-08-01,281.9417
2025-08-04,282.3782
2025-08-05,283.5391
2025-08-06,284.0153
2025-08-07,287.716
2025-08-08,287.1703
2025-08-11,286.6544
2025-08-12,288.3709
2025-08-13,292.786
2025-08-14,291.1093
2025-08-15,290.4247
2025-08-18,292.2006
2025-08-19,298.6199
2025-08-20,300.2669
2025-08-21,302.9854
2025-08-22,300.7927
2025-08-25,296.2784
2025-08-26,297.846
2025-08-27,296.3776
2025-08-28,297.2705
2025-08-29,300.376
2025-09-02,300.1974
2025-09-03,301.3186
2025-09-04,297.8658
2025-09-05,297.4781
2025-09-08,297.4184
2025-09-09,296.8019
2025-09-10,291.5122
2025-09-11,298.8999
2025-09-12,295.5889
2025-09-15,287.7537
2025-09-16,289.802
2025-09-17,290.9951
2025-09-18,295.0519
2025-09-19,297.9454
2025-09-22,298.353
2025-09-23,302.6286
2025-09-24,302.8175
2025-09-25,301.3558
2025-09-26,302.4198
2025-09-29,303.9709
2025-09-30,307.978
2025-10-01,304.1002
2025-10-02,306.9141
2025-10-03,308.7138
2025-10-06,307.3914
2025-10-07,308.0476
2025-10-08,305.1939
2025-10-09,300.5306
2025-10-10,300.0235
2025-10-13,296.3047
2025-10-14,302.0022
2025-10-15,294.4753
2025-10-16,278.5762
2025-10-17,278.8745
2025-10-20,277.6714
2025-10-21,277.4228
2025-10-22,281.4299
2025-10-23,280.883
2025-10-24,279.133
2025-10-27,277.4128
2025-10-28,265.9783
2025-10-29,260.5294
2025-10-30,260.5394
2025-10-31,248.0707
2025-11-03,241.5977
2025-11-04,250.2681
2025-11-05,246.6389
2025-11-06,243.8449
2025-11-07,248.5878
2025-11-10,249.6318
2025-11-11,253.5494
2025-11-12,254.4045
