Date,Close
2025-01-02,141.98
2025-01-03,144.03
2025-01-06,145.65
2025-01-07,143.32
2025-01-08,143.5
2025-01-10,139.96
2025-01-13,146.47
2025-01-14,154.25
2025-01-15,161.54
2025-01-16,160.66
2025-01-17,164.12
2025-01-21,166.18
2025-01-22,165.78
2025-01-23,168.12
2025-01-24,166.76
2025-01-27,173.51
2025-01-28,169.52
2025-01-29,168.62
2025-01-30,172.71
2025-01-31,167.28
2025-02-03,162.91
2025-02-04,163.43
2025-02-05,162.09
2025-02-06,159.87
2025-02-07,153.93
2025-02-10,155.72
2025-02-11,156.16
2025-02-12,150.76
2025-02-13,152.5
2025-02-14,153.9
2025-02-18,147.95
2025-02-19,144.79
2025-02-20,144.39
2025-02-21,137.35
2025-02-24,138.58
2025-02-25,140.78
2025-02-26,142.08
2025-02-27,139.15
2025-02-28,138.99
2025-03-03,134.92
2025-03-04,130.39
2025-03-05,133.7
2025-03-06,134.27
2025-03-07,134.51
2025-03-10,135.58
2025-03-11,130.0
2025-03-12,129.46
2025-03-13,122.8
2025-03-14,126.19
2025-03-17,128.15
2025-03-18,127.72
2025-03-19,128.29
2025-03-20,128.76
2025-03-21,126.46
2025-03-24,131.73
2025-03-25,130.85
2025-03-26,128.99
2025-03-27,128.03
2025-03-28,124.51
2025-03-31,124.94
2025-04-01,125.61
2025-04-02,131.12
2025-04-03,119.82
2025-04-04,123.96
2025-04-07,118.91
2025-04-08,113.83
2025-04-09,124.73
2025-04-10,119.94
2025-04-11,120.9
2025-04-14,119.5
2025-04-15,118.22
2025-04-16,113.06
2025-04-17,116.94
2025-04-21,114.08
2025-04-22,116.1
2025-04-23,117.26
2025-04-24,120.91
2025-04-25,121.35
2025-04-28,121.5
2025-04-29,120.24
2025-04-30,119.63
2025-05-01,111.93
2025-05-02,114.13
2025-05-05,111.86
2025-05-06,107.15
2025-05-07,105.99
2025-05-08,111.07
2025-05-09,110.72
2025-05-12,117.99
2025-05-13,123.81
2025-05-14,119.51
2025-05-15,117.96
2025-05-16,120.64
